"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"Torrent Power Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/TORNTPOWER_10072026154301_SE_Intimation_on_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_BRSR_WebXMLFile_20260710_154327243.xml","10-Jul-2026","-"
"Vindhya Telelinks Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_517015_10072026152641.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_517015_1072026152641_BRSR_WebXMLFile_20260710_152706804.xml","10-Jul-2026","-"
"PRIVI SPECIALITY CHEMICALS LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_530117_10072026145532.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_530117_1072026145532_BRSR_WebXMLFile_20260710_145552057.xml","10-Jul-2026","-"
"Satin Creditcare Network Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_539404_10072026144150.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_539404_1072026144150_BRSR_WebXMLFile_20260710_144214738.xml","10-Jul-2026","-"
"BirlaNu Limited (Formerly HIL Limited)",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_509675_10072026124927.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_509675_1072026124927_BRSR_WebXMLFile_20260710_124948726.xml","10-Jul-2026","-"
"COSMO FIRST LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/COSMOFILMS_10072026123627_Intimation_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/Xml_BRSR_WebXMLFile_20260710_123639159.xml","10-Jul-2026","-"
"Dwarikesh Sugar Industries Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_532610_10072026111116.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_532610_1072026111116_BRSR_WebXMLFile_20260710_111135231.xml","10-Jul-2026","-"
"BOSCH LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/BOSCHLTD2025_10072026102401_LettertoSEBRSR2026.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSRFY202526_BRSR_WebXMLFile_20260710_102419136.xml","10-Jul-2026","-"
"Cummins India Limited",2025,2026,"https://nsearchives.nseindia.com/corporate/BRSR_500480_09072026225459.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_500480_972026225459_BRSR_WebXMLFile_20260709_225517766.xml","09-Jul-2026","-"
"TRIDENT LIMITED",2025,2026,"https://nsearchives.nseindia.com/corporate/TRIDENT_09072026223736_SE_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_BSE__NSE_BRSR_WebXMLFile_20260709_223806173.xml","09-Jul-2026","-"
